Date,PM2.5 AQI Value,AQI Category,Site Name,Site ID,Source
11/21/15,58,Moderate,Long Beach-Route 710 Near Road,06-037-4008,AQS
11/22/15,40,Good,Long Beach (South),06-037-4004,AQS
11/23/15,53,Moderate,Long Beach-Route 710 Near Road,06-037-4008,AQS
11/24/15,60,Moderate,Reseda,06-037-1201,AQS
11/25/15,52,Moderate,Reseda,06-037-1201,AQS
11/26/15,65,Moderate,Compton,06-037-1302,AQS
11/27/15,60,Moderate,Reseda,06-037-1201,AQS
11/28/15,57,Moderate,Reseda,06-037-1201,AQS
11/29/15,50,Good,Reseda,06-037-1201,AQS
11/30/15,54,Moderate,Reseda,06-037-1201,AQS
12/1/15,68,Moderate,Long Beach (South),06-037-4004,AQS
12/2/15,56,Moderate,Reseda,06-037-1201,AQS
12/3/15,55,Moderate,Reseda,06-037-1201,AQS
12/4/15,62,Moderate,Reseda,06-037-1201,AQS
12/5/15,65,Moderate,Reseda,06-037-1201,AQS
12/6/15,61,Moderate,Reseda,06-037-1201,AQS
12/7/15,67,Moderate,Anaheim,06-059-0007,AQS
12/8/15,71,Moderate,Long Beach (South),06-037-4004,AQS
12/9/15,88,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
12/10/15,76,Moderate,Reseda,06-037-1201,AQS
12/11/15,40,Good,Reseda,06-037-1201,AQS
12/12/15,43,Good,Anaheim,06-059-0007,AQS
12/13/15,51,Moderate,Long Beach (South),06-037-4004,AQS
12/14/15,37,Good,Reseda,06-037-1201,AQS
12/15/15,45,Good,Long Beach-Route 710 Near Road,06-037-4008,AQS
12/16/15,58,Moderate,Long Beach-Route 710 Near Road,06-037-4008,AQS
12/17/15,67,Moderate,Long Beach (South),06-037-4004,AQS
12/18/15,67,Moderate,Reseda,06-037-1201,AQS
12/19/15,81,Moderate,Reseda,06-037-1201,AQS
12/20/15,73,Moderate,Reseda,06-037-1201,AQS
12/21/15,76,Moderate,Reseda,06-037-1201,AQS
12/22/15,67,Moderate,Reseda,06-037-1201,AQS
12/23/15,54,Moderate,Reseda,06-037-1201,AQS
12/24/15,62,Moderate,Anaheim,06-059-0007,AQS
12/25/15,52,Moderate,Reseda,06-037-1201,AQS
12/26/15,57,Moderate,Compton,06-037-1302,AQS
12/27/15,74,Moderate,Long Beach-Route 710 Near Road,06-037-4008,AQS
12/28/15,67,Moderate,Reseda,06-037-1201,AQS
12/29/15,63,Moderate,Reseda,06-037-1201,AQS
12/30/15,83,Moderate,Reseda,06-037-1201,AQS
12/31/15,84,Moderate,Long Beach-Route 710 Near Road,06-037-4008,AQS
